Human Says:,ChatBot Says:
I want to order a small pizza with chicken only,"what size of the pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Small')"";>Small</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Medium')"";>Medium</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Large')"";>Large</a><br>"
order pizza,"what size of the pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Small')"";>Small</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Medium')"";>Medium</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Large')"";>Large</a><br>"
i like to order a pizza,"what size of the pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Small')"";>Small</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Medium')"";>Medium</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Large')"";>Large</a><br>"
i am hungry,"what size of the pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Small')"";>Small</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Medium')"";>Medium</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Large')"";>Large</a><br>"
i need a pizza,"what size of the pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Small')"";>Small</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Medium')"";>Medium</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Large')"";>Large</a><br>"
order me a pizza,"what size of the pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Small')"";>Small</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Medium')"";>Medium</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Large')"";>Large</a><br>"
pizza,"what size of the pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Small')"";>Small</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Medium')"";>Medium</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Large')"";>Large</a><br>"
pizza ordering,"what size of the pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Small')"";>Small</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Medium')"";>Medium</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Large')"";>Large</a><br>"
get pizza,"what size of the pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Small')"";>Small</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Medium')"";>Medium</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Large')"";>Large</a><br>"
get me a pizza,"what size of the pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Small')"";>Small</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Medium')"";>Medium</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Large')"";>Large</a><br>"
get me the pizza,"what size of the pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Small')"";>Small</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Medium')"";>Medium</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Large')"";>Large</a><br>"
Small ,"crust size please<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Thin')"";>Thin</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Soft')"";>Soft</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('cheese-stuffed')"";>cheese-stuffed</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Flatbread')"";>Flatbread</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sicilian Style')"";>Sicilian Style</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicago Deep Dish')"";>Chicago Deep Dish</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Neapolitan')"";>Neapolitan</a><br>"
small size pizza,"crust size please<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Thin')"";>Thin</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Soft')"";>Soft</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('cheese-stuffed')"";>cheese-stuffed</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Flatbread')"";>Flatbread</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sicilian Style')"";>Sicilian Style</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicago Deep Dish')"";>Chicago Deep Dish</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Neapolitan')"";>Neapolitan</a><br>"
Medium,"crust size please<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Thin')"";>Thin</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Soft')"";>Soft</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('cheese-stuffed')"";>cheese-stuffed</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Flatbread')"";>Flatbread</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sicilian Style')"";>Sicilian Style</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicago Deep Dish')"";>Chicago Deep Dish</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Neapolitan')"";>Neapolitan</a><br>"
medium size pizza,"crust size please<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Thin')"";>Thin</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Soft')"";>Soft</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('cheese-stuffed')"";>cheese-stuffed</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Flatbread')"";>Flatbread</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sicilian Style')"";>Sicilian Style</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicago Deep Dish')"";>Chicago Deep Dish</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Neapolitan')"";>Neapolitan</a><br>"
medium pizzza,"crust size please<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Thin')"";>Thin</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Soft')"";>Soft</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('cheese-stuffed')"";>cheese-stuffed</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Flatbread')"";>Flatbread</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sicilian Style')"";>Sicilian Style</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicago Deep Dish')"";>Chicago Deep Dish</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Neapolitan')"";>Neapolitan</a><br>"
Large,"crust size please<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Thin')"";>Thin</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Soft')"";>Soft</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('cheese-stuffed')"";>cheese-stuffed</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Flatbread')"";>Flatbread</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sicilian Style')"";>Sicilian Style</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicago Deep Dish')"";>Chicago Deep Dish</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Neapolitan')"";>Neapolitan</a><br>"
large size pizza,"crust size please<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Thin')"";>Thin</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Soft')"";>Soft</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('cheese-stuffed')"";>cheese-stuffed</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Flatbread')"";>Flatbread</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sicilian Style')"";>Sicilian Style</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicago Deep Dish')"";>Chicago Deep Dish</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Neapolitan')"";>Neapolitan</a><br>"
large pizza,"crust size please<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Thin')"";>Thin</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Soft')"";>Soft</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('cheese-stuffed')"";>cheese-stuffed</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Flatbread')"";>Flatbread</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sicilian Style')"";>Sicilian Style</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicago Deep Dish')"";>Chicago Deep Dish</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Neapolitan')"";>Neapolitan</a><br>"
thin ,"Type of pizza <br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Veg')"";>Veg</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Non-Veg')"";>Non-Veg</a><br>"
soft ,"Type of pizza <br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Veg')"";>Veg</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Non-Veg')"";>Non-Veg</a><br>"
cheese-stuffed ,"Type of pizza <br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Veg')"";>Veg</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Non-Veg')"";>Non-Veg</a><br>"
flatbread ,"Type of pizza <br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Veg')"";>Veg</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Non-Veg')"";>Non-Veg</a><br>"
Sicilian styles,"Type of pizza <br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Veg')"";>Veg</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Non-Veg')"";>Non-Veg</a><br>"
Chicago Deep Dish,"Type of pizza <br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Veg')"";>Veg</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Non-Veg')"";>Non-Veg</a><br>"
Neapolitan,"Type of pizza <br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Veg')"";>Veg</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Non-Veg')"";>Non-Veg</a><br>"
veg,"Veg Toppings<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Mushrooms')"";>Mushrooms</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Capsicum(bell pepper)')"";>Capsicum(bell pepper)</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sun-Dried Tomatoes')"";>Sun-Dried Tomatoes</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sweet Potato')"";>Sweet Potato </a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Onion')"";>Onion</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Spinach')"";>Spinach</a><br>"
non-veg,"Non-Veg Toppings<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Salami')"";>Salami</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Pepperoni')"";>Pepperoni</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Bacon')"";>Bacon</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicken breasts')"";>Chicken breasts</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Ham')"";>Ham</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sausages')"";>Sausages</a><br>"
Mushrooms,"Veg Pizza Menu<br>Choose your pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Margherita')"";>Margherita</a><br><img src=""/static/download.jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Farm pizza')"";>Farm pizza</a><br><img src=""/static/download (1).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Peppy Paneer')"";>Peppy Paneer</a><br><img src=""/static/download (2).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Mexican green wave')"";>Mexican green wave</a><br><img src=""/static/download (3).jpg""><br>"
Capsicum(bell pepper),"Veg Pizza Menu<br>Choose your pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Margherita')"";>Margherita</a><br><img src=""/static/download.jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Farm pizza')"";>Farm pizza</a><br><img src=""/static/download (1).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Peppy Paneer')"";>Peppy Paneer</a><br><img src=""/static/download (2).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Mexican green wave')"";>Mexican green wave</a><br><img src=""/static/download (3).jpg""><br>"
Sun-Dried Tomatoes,"Veg Pizza Menu<br>Choose your pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Margherita')"";>Margherita</a><br><img src=""/static/download.jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Farm pizza')"";>Farm pizza</a><br><img src=""/static/download (1).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Peppy Paneer')"";>Peppy Paneer</a><br><img src=""/static/download (2).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Mexican green wave')"";>Mexican green wave</a><br><img src=""/static/download (3).jpg""><br>"
Sweet Potato,"Veg Pizza Menu<br>Choose your pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Margherita')"";>Margherita</a><br><img src=""/static/download.jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Farm pizza')"";>Farm pizza</a><br><img src=""/static/download (1).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Peppy Paneer')"";>Peppy Paneer</a><br><img src=""/static/download (2).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Mexican green wave')"";>Mexican green wave</a><br><img src=""/static/download (3).jpg""><br>"
Onion,"Veg Pizza Menu<br>Choose your pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Margherita')"";>Margherita</a><br><img src=""/static/download.jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Farm pizza')"";>Farm pizza</a><br><img src=""/static/download (1).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Peppy Paneer')"";>Peppy Paneer</a><br><img src=""/static/download (2).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Mexican green wave')"";>Mexican green wave</a><br><img src=""/static/download (3).jpg""><br>"
Spinach,"Veg Pizza Menu<br>Choose your pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Margherita')"";>Margherita</a><br><img src=""/static/download.jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Farm pizza')"";>Farm pizza</a><br><img src=""/static/download (1).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Peppy Paneer')"";>Peppy Paneer</a><br><img src=""/static/download (2).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Mexican green wave')"";>Mexican green wave</a><br><img src=""/static/download (3).jpg""><br>"
Salami,"Veg Pizza Menu<br>Choose your pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Pepper Barbecue Chicken')"";>Pepper Barbecue Chicken</a><br><img src=""/static/download (4).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicken Sausage')"";>Chicken Sausage</a><br><img src=""/static/download (5).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicken Dominator')"";>Chicken Dominator</a><br><img src=""/static/download (6).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Indi Chicken Tikka')"";>Indi Chicken Tikka</a><br><img src=""/static/download (7).jpg""><br>"
Pepperoni,"Non-Veg Pizza Menu<br>Choose your pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Pepper Barbecue Chicken')"";>Pepper Barbecue Chicken</a><br><img src=""/static/download (4).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicken Sausage')"";>Chicken Sausage</a><br><img src=""/static/download (5).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicken Dominator')"";>Chicken Dominator</a><br><img src=""/static/download (6).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Indi Chicken Tikka')"";>Indi Chicken Tikka</a><br><img src=""/static/download (7).jpg""><br>"
Bacon,"Non-Veg Pizza Menu<br>Choose your pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Pepper Barbecue Chicken')"";>Pepper Barbecue Chicken</a><br><img src=""/static/download (4).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicken Sausage')"";>Chicken Sausage</a><br><img src=""/static/download (5).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicken Dominator')"";>Chicken Dominator</a><br><img src=""/static/download (6).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Indi Chicken Tikka')"";>Indi Chicken Tikka</a><br><img src=""/static/download (7).jpg""><br>"
Chicken breasts,"Non-Veg Pizza Menu<br>Choose your pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Pepper Barbecue Chicken')"";>Pepper Barbecue Chicken</a><br><img src=""/static/download (4).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicken Sausage')"";>Chicken Sausage</a><br><img src=""/static/download (5).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicken Dominator')"";>Chicken Dominator</a><br><img src=""/static/download (6).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Indi Chicken Tikka')"";>Indi Chicken Tikka</a><br><img src=""/static/download (7).jpg""><br>"
Ham,"Non-Veg Pizza Menu<br>Choose your pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Pepper Barbecue Chicken')"";>Pepper Barbecue Chicken</a><br><img src=""/static/download (4).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicken Sausage')"";>Chicken Sausage</a><br><img src=""/static/download (5).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicken Dominator')"";>Chicken Dominator</a><br><img src=""/static/download (6).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Indi Chicken Tikka')"";>Indi Chicken Tikka</a><br><img src=""/static/download (7).jpg""><br>"
Sausages,"Non-Veg Pizza Menu<br>Choose your pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Pepper Barbecue Chicken')"";>Pepper Barbecue Chicken</a><br><img src=""/static/download (4).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicken Sausage')"";>Chicken Sausage</a><br><img src=""/static/download (5).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicken Dominator')"";>Chicken Dominator</a><br><img src=""/static/download (6).jpg""><br><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Indi Chicken Tikka')"";>Indi Chicken Tikka</a><br><img src=""/static/download (7).jpg""><br>"
margherita,"How many pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('1')"";>1</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('2')"";>2</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('3')"";>3</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('4')"";>4</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('5')"";>5</a><br>"
farm pizza,"How many pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('1')"";>1</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('2')"";>2</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('3')"";>3</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('4')"";>4</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('5')"";>5</a><br>"
peppy paneer,"How many pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('1')"";>1</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('2')"";>2</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('3')"";>3</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('4')"";>4</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('5')"";>5</a><br>"
mexican green wave,"How many pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('1')"";>1</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('2')"";>2</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('3')"";>3</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('4')"";>4</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('5')"";>5</a><br>"
pepper barbecue chicken,"How many pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('1')"";>1</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('2')"";>2</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('3')"";>3</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('4')"";>4</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('5')"";>5</a><br>"
CHICKEN SAUSAGE,"How many pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('1')"";>1</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('2')"";>2</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('3')"";>3</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('4')"";>4</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('5')"";>5</a><br>"
chicken dominator,"How many pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('1')"";>1</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('2')"";>2</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('3')"";>3</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('4')"";>4</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('5')"";>5</a><br>"
