Small,"crust size please<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Thin')"";>Thin</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Soft')"";>Soft</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('cheese-stuffed')"";>cheese-stuffed</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Flatbread')"";>Flatbread</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sicilian Style')"";>Sicilian Style</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicago Deep Dish')"";>Chicago Deep Dish</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Neapolitan')"";>Neapolitan</a><br>"
Thin,"Type of pizza <br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Veg')"";>Veg</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Non-Veg')"";>Non-Veg</a><br>"
Soft,"Type of pizza <br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Veg')"";>Veg</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Non-Veg')"";>Non-Veg</a><br>"
cheese-stuffed,"Type of pizza <br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Veg')"";>Veg</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Non-Veg')"";>Non-Veg</a><br>"
Flatbread,"Type of pizza <br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Veg')"";>Veg</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Non-Veg')"";>Non-Veg</a><br>"
Sicilian Style,"Type of pizza <br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Veg')"";>Veg</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Non-Veg')"";>Non-Veg</a><br>"
Chicago Deep Dish,"Type of pizza <br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Veg')"";>Veg</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Non-Veg')"";>Non-Veg</a><br>"
Neapolitan,"Type of pizza <br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Veg')"";>Veg</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Non-Veg')"";>Non-Veg</a><br>"
Veg,"Toppings<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Mushrooms')"";>Mushrooms</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Capsicum(bell pepper)')"";>Capsicum(bell pepper)</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sun-Dried Tomatoes)"";>Sun-Dried Tomatoes</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sweet Potato')"";>Sweet Potato </a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Onion')"";>Onion</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Spinach')"";>Spinach</a><br>"
Non-Veg,"Toppings<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Salami')"";>Salami</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Pepperoni')"";>Pepperoni</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Bacon')"";>Bacon</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicken breasts')"";>Chicken breasts</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Ham')"";>Ham</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sausages')"";>Sausages</a><br>"
Mushrooms,I'm not an expert on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Mushrooms'>Mushrooms</a>
Hello,Hi there!
pizza,"what size of the pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('crust size please')"";>Small</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('crust size please')"";>Medium</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('crust size please')"";>Large</a><br>"
Hello,Hey!
Hello,Hi there!
pizza,"what size of the pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('crust size please')"";>Small</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('crust size please')"";>Medium</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('crust size please')"";>Large</a><br>"
Hello,Hi there!
pizza,"what size of the pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('crust size please')"";>Small</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('crust size please')"";>Medium</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('crust size please')"";>Large</a><br>"
Hello,Hi there!
pizza,"what size of the pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('crust size please')"";>Small</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('crust size please')"";>Medium</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('crust size please')"";>Large</a><br>"
crust size please,I don't have a response for that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=crust size please'>crust size please</a>
crust size please,I'm not an expert on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=crust size please'>crust size please</a>
crust size please,I'm not an expert on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=crust size please'>crust size please</a>
Hello,Hey!
pizza,"what size of the pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('crust size please')"";>Small</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('crust size please')"";>Medium</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('crust size please')"";>Large</a><br>"
crust size please,I don't know.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=crust size please'>crust size please</a>
Hello,It's nice to see you!
pizza,"what size of the pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('crust size please')"";>Small</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('crust size please')"";>Medium</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('crust size please')"";>Large</a><br>"
crust size please,I don't know.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=crust size please'>crust size please</a>
crust size please,Is there a different way you can ask that?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=crust size please'>crust size please</a>
crust size please,There are some things I just don't know about yet.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=crust size please'>crust size please</a>
Hello,It's nice to see you!
i am hungry,"what size of the pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Small')"";>Small</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Medium')"";>Medium</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Large')"";>Large</a><br>"
Small,"crust size please<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Thin')"";>Thin</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Soft')"";>Soft</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('cheese-stuffed')"";>cheese-stuffed</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Flatbread')"";>Flatbread</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sicilian Style')"";>Sicilian Style</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicago Deep Dish')"";>Chicago Deep Dish</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Neapolitan')"";>Neapolitan</a><br>"
pizza,"what size of the pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('crust size please')"";>Small</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('crust size please')"";>Medium</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('crust size please')"";>Large</a><br>"
crust size please,I don't know.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=crust size please'>crust size please</a>
Chicago Deep Dish,"Type of pizza <br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Veg')"";>Veg</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Non-Veg')"";>Non-Veg</a><br>"
crust size please,Can you try rephrasing that please?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=crust size please'>crust size please</a>
Non-Veg,"Toppings<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Salami')"";>Salami</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Pepperoni')"";>Pepperoni</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Bacon')"";>Bacon</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicken breasts')"";>Chicken breasts</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Ham')"";>Ham</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sausages')"";>Sausages</a><br>"
Pepperoni,Is there a different way you can ask that?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Pepperoni'>Pepperoni</a>
Medium,"crust size please<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Thin')"";>Thin</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Soft')"";>Soft</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('cheese-stuffed')"";>cheese-stuffed</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Flatbread')"";>Flatbread</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sicilian Style')"";>Sicilian Style</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicago Deep Dish')"";>Chicago Deep Dish</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Neapolitan')"";>Neapolitan</a><br>"
Thin,"Type of pizza <br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Veg')"";>Veg</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Non-Veg')"";>Non-Veg</a><br>"
Neapolitan,"Type of pizza <br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Veg')"";>Veg</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Non-Veg')"";>Non-Veg</a><br>"
Hello,Hey!
get me a pizza,"what size of the pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Small')"";>Small</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Medium')"";>Medium</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Large')"";>Large</a><br>"
Medium,"crust size please<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Thin')"";>Thin</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Soft')"";>Soft</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('cheese-stuffed')"";>cheese-stuffed</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Flatbread')"";>Flatbread</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sicilian Style')"";>Sicilian Style</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicago Deep Dish')"";>Chicago Deep Dish</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Neapolitan')"";>Neapolitan</a><br>"
Thin,"Type of pizza <br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Veg')"";>Veg</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Non-Veg')"";>Non-Veg</a><br>"
Non-Veg,"Toppings<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Salami')"";>Salami</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Pepperoni')"";>Pepperoni</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Bacon')"";>Bacon</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicken breasts')"";>Chicken breasts</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Ham')"";>Ham</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sausages')"";>Sausages</a><br>"
Sausages,I don't know.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Sausages'>Sausages</a>
Hello,Hi there!
hi,Hello there!
hello,Hello to you!
Hello,"Hi I am Hot cherry from Yoyo pizza ! <img src=""https://s.tcdn.co/169/64a/16964af9-4fb1-4007-b704-87b8f11cd331/8.png"">"
Hello,"Hi I am Hot cherry from Yoyo pizza ! <img src=""https://s.tcdn.co/169/64a/16964af9-4fb1-4007-b704-87b8f11cd331/8.png"">"
pizza,"what size of the pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Small')"";>Small</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Medium')"";>Medium</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Large')"";>Large</a><br>"
Medium,"crust size please<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Thin')"";>Thin</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Soft')"";>Soft</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('cheese-stuffed')"";>cheese-stuffed</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Flatbread')"";>Flatbread</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sicilian Style')"";>Sicilian Style</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicago Deep Dish')"";>Chicago Deep Dish</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Neapolitan')"";>Neapolitan</a><br>"
Chicago Deep Dish,"Type of pizza <br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Veg')"";>Veg</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Non-Veg')"";>Non-Veg</a><br>"
Veg,"Toppings<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Mushrooms')"";>Mushrooms</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Capsicum(bell pepper)')"";>Capsicum(bell pepper)</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sun-Dried Tomatoes)"";>Sun-Dried Tomatoes</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sweet Potato')"";>Sweet Potato </a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Onion')"";>Onion</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Spinach')"";>Spinach</a><br>"
Mushrooms,Can you try rephrasing that please?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Mushrooms'>Mushrooms</a>
Capsicum(bell pepper),I'm not an expert on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Capsicum(bell pepper)'>Capsicum(bell pepper)</a>
Hello,"Hi I am Hot cherry from Yoyo pizza ! <img src=""https://data5.sticker.fan/stickers_storage/2020/03/21/file_1925490_128x128.png"">"
Hello,"Hi I am Hot cherry from Yoyo pizza ! <img src=""https://data5.sticker.fan/stickers_storage/2020/03/21/file_1925490_128x128.png"">"
pizza,"what size of the pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Small')"";>Small</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Medium')"";>Medium</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Large')"";>Large</a><br>"
Small,"crust size please<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Thin')"";>Thin</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Soft')"";>Soft</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('cheese-stuffed')"";>cheese-stuffed</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Flatbread')"";>Flatbread</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sicilian Style')"";>Sicilian Style</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicago Deep Dish')"";>Chicago Deep Dish</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Neapolitan')"";>Neapolitan</a><br>"
Thin,"Type of pizza <br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Veg')"";>Veg</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Non-Veg')"";>Non-Veg</a><br>"
Veg,"Toppings<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Mushrooms')"";>Mushrooms</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Capsicum(bell pepper)')"";>Capsicum(bell pepper)</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sun-Dried Tomatoes')"";>Sun-Dried Tomatoes</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sweet Potato')"";>Sweet Potato </a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Onion')"";>Onion</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Spinach')"";>Spinach</a><br>"
Mushrooms,"Choose your pizza?<br><img src=""/static/download.jpg""<a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Margherita')"";>Margherita</a><br>"
Hello,"Hi I am Hot cherry from Yoyo pizza ! <img src=""https://data5.sticker.fan/stickers_storage/2020/03/21/file_1925490_128x128.png"">"
pizza,"what size of the pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Small')"";>Small</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Medium')"";>Medium</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Large')"";>Large</a><br>"
Small,"crust size please<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Thin')"";>Thin</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Soft')"";>Soft</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('cheese-stuffed')"";>cheese-stuffed</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Flatbread')"";>Flatbread</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sicilian Style')"";>Sicilian Style</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicago Deep Dish')"";>Chicago Deep Dish</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Neapolitan')"";>Neapolitan</a><br>"
cheese-stuffed,"Type of pizza <br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Veg')"";>Veg</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Non-Veg')"";>Non-Veg</a><br>"
